test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
FBgn0021953	FBgn0021953	Fatp	2L:10510671-10517218	C1	C2	OK	18.1323	61.8101	1.76928	5.00431	5e-05	0.00167794	yes
FBgn0000370	FBgn0000370	crc	2L:21310865-21319527	C1	C2	OK	380.882	1038.26	1.44675	10.0734	5e-05	0.00167794	yes
FBgn0025682	FBgn0025682	scf	3L:1298671-1300389	C1	C2	OK	396.95	1057.02	1.41297	9.76908	5e-05	0.00167794	yes
FBgn0266452	FBgn0266452	CTPsyn	3L:15097913-15113003	C1	C2	OK	44.1277	116.801	1.4043	7.64589	5e-05	0.00167794	yes
FBgn0022893	FBgn0022893	Df31	2L:21626308-21629932	C1	C2	OK	499.684	1281.89	1.35919	9.40675	5e-05	0.00167794	yes
FBgn0033669	FBgn0033669	PI31	2R:11939556-11970115	C1	C2	OK	121.121	310.25	1.35698	8.2107	5e-05	0.00167794	yes
FBgn0266486	FBgn0266486	CG45085	2R:9186669-9192096	C1	C2	OK	45.251	114.849	1.34371	7.16029	5e-05	0.00167794	yes
FBgn0267330	FBgn0267330	KdelR	2L:10426886-10428632	C1	C2	OK	231.04	585.914	1.34255	8.82648	5e-05	0.00167794	yes
FBgn0086904	FBgn0086904	Nacalpha	2R:12757545-12760999	C1	C2	OK	1568.15	3963.55	1.33773	9.23261	5e-05	0.00167794	yes
FBgn0023507	FBgn0023507	CG3835	X:2141488-2144937	C1	C2	OK	75.8625	190.607	1.32914	8.21292	5e-05	0.00167794	yes
FBgn0028479	FBgn0028479	Mtpalpha	2L:9568889-9576769	C1	C2	OK	116.459	290.111	1.31679	8.23538	5e-05	0.00167794	yes
FBgn0263598	FBgn0263598	Vha68-2	2L:12974321-12978607	C1	C2	OK	137.412	341.733	1.31437	8.82759	5e-05	0.00167794	yes
FBgn0265185	FBgn0265185	CG44250	2R:12948347-12952293	C1	C2	OK	191.538	474.34	1.30829	7.23704	5e-05	0.00167794	yes
FBgn0266410	FBgn0266410	CG45050	3R:9340215-9362994	C1	C2	OK	118.699	293.03	1.30374	8.33053	5e-05	0.00167794	yes
FBgn0266490	FBgn0266490	CG45089	X:7893052-7893798	C1	C2	OK	209.199	512.178	1.29177	6.69362	5e-05	0.00167794	yes
FBgn0030362	FBgn0030362	regucalcin	X:12012376-12017961	C1	C2	OK	961.381	2347.94	1.28821	9.0058	5e-05	0.00167794	yes
FBgn0039465	FBgn0039465	Tsp97E	3R:26961063-26964817	C1	C2	OK	23.6127	57.3008	1.27899	6.37726	5e-05	0.00167794	yes
FBgn0000244	FBgn0000244	by	3R:9528237-9533011	C1	C2	OK	14.6246	35.3646	1.27391	6.5294	5e-05	0.00167794	yes
FBgn0039830	FBgn0039830	CG1746	3R:31216144-31219630	C1	C2	OK	567.302	1363.57	1.2652	8.3842	5e-05	0.00167794	yes
FBgn0000412	FBgn0000412	D1	3R:9238082-9240654	C1	C2	OK	153.075	365.949	1.2574	8.18493	5e-05	0.00167794	yes
